id,title,abstract,label
W1995582426,Docetaxel (taxotere®) plus cisplatin: an active and well-tolerated combination in patients with advanced non-small cell lung cancer,,0
W2059334265,Link between patient preferences and treatment outcomes in seasonal allergic rhinitis: An empiric investigation,,1
W1980939736,Comparative Efficacy and Safety of Once-Daily Versus Twice-Daily Loratadine-Pseudoephedrine Combinations Versus Placebo in Seasonal Allergic Rhinitis,"The objective of this study was to compare the efficacy and safety of Claritin-D 24 Hour (once daily) with that of Claritin-D 12 Hour (twice daily) and placebo in the treatment of patients with seasonal allergic rhinitis (SAR). In this double-blind, placebo-controlled, multicenter study, 469 patients with moderate-to-severe SAR symptoms were treated for 2 weeks with one of the following: Claritin-D 24 Hour (a combination tablet formulation of loratadine 10 mg in the coating and pseudoephedrine sulfate 240 mg in an extended-release core), Claritin-D 12 Hour (a combination tablet formulation of loratadine 5 mg in the tablet coating and 120 mg pseudoephedrine sulfate, 60 mg in the coating and 60 mg in the core), or placebo. Claritin-D 24 Hour and Claritin-D 12 Hour were consistently superior to placebo (P < 0.01) in reducing total, nasal, and nonnasal symptom scores. Patients in the Claritin-D 24 Hour and Claritin-D 12 Hour groups also had significantly greater (P </= 0.05) relief of rhinorrhea and nasal stuffiness as compared with placebo. Insomnia was reported significantly more often (P < 0.01) in Claritin-D 12 Hour (15%) patients compared with Claritin-D 24 Hour (4%) and placebo (2%) patients. Dry mouth was reported significantly more often (P < 0.05) in Claritin-D 24 Hour (13%) and Claritin-D 12 Hour (13%) groups compared with placebo (4%). Claritin-D 24 Hour has efficacy comparable to Claritin-D 12 Hour in relieving allergic rhinitis symptoms while producing significantly less insomnia.",0
W2019199918,Nasal Effect of Cetirizine and Loratadine at 24 Hours in Patients With Allergic Rhinitis,"Numerous studies have compared the duration of the cutaneous effect of cetirizine and loratadine. We assessed their nasal effects 24 hours after administration in patients with allergic rhinitis, using a randomized, double-blind, crossover, placebo-controlled trial. Nasal challenge was performed by nebulization of increasing doubling dosages of histamine (0.04-1.28 mg/nostril) in 12 patients (seven males, five females, aged 31 +/- 7 years). Nasal airway resistance was measured by posterior rhinomanometry 24 hours after intake of cetirizine (10 mg), loratadine (10 mg), or placebo. Baseline nasal airway resistance was identical on all study days (2.86 +/- 0.10 cm H2 O/L per second). Twenty-four hours after intake, the dose-response curve of nasal obstruction to histamine was significantly lower after treatment with cetirizine compared with placebo (P < 0.05). However, although the curve was lower on loratadine than on placebo, the curves did not differ significantly. In conclusion, our study shows significant efficacy of cetirizine, but not of loratadine, in the nose at 24 hours after a single dose. This suggests that the nasal action of cetirizine is longer lasting than that of loratadine in patients with allergic rhinitis.",0
W86574291,Comparison of intranasal triamcinolone acetonide with oral loratadine in the treatment of seasonal ragweed-induced allergic rhinitis.,"A double-blind, randomized, multicenter, parallel-group controlled study compared the efficacy and safety of intranasal triamcinolone acetonide (220 micrograms/day) and oral loratadine (10 mg/day) in patients with at least two seasons of ragweed-induced seasonal allergic rhinitis. A 28-day screening period, including a 5-day baseline period, preceded a 4-week treatment period. Reduction in rhinitis symptom scores was evident in both groups as early as day 1, with no significant between-group differences during week 1. At weeks 2, 3, and 4, patients treated with triamcinolone acetonide were significantly (P < 0.05) more improved in total nasal score, nasal itch, nasal stuffiness, and sneezing than were patients treated with loratadine. At weeks 3 and 4, rhinorrhea and ocular symptoms were significantly (P < 0.05) more improved from baseline among triamcinolone acetonide patients compared with loratadine patients. There was no significant between-group difference in relief from postnasal drip at any time point. Physicians' global evaluations significantly (P = 0.002) favored triamcinolone acetonide at the final visit, with moderate to complete relief of symptoms attained by 68% of triamcinolone acetonide patients and 59% of loratadine patients. Over the 4-week treatment period, triamcinolone acetonide patients had significantly greater improvement in total nasal score, nasal itch, nasal stuffiness, sneezing, and ocular symptoms. Both treatments were well tolerated, with headache being the most frequently reported drug-related adverse effect in both the triamcinolone acetonide (15%) and loratadine (11%) groups. These results indicate that triamcinolone acetonide is more effective than oral loratadine in relieving the symptoms of ragweed-induced seasonal allergic rhinitis.",0
W1964030186,Administration of acetylcholine and vasoactive intestinal polypeptide to atopic eczema patients,"Responses to acetylcholine (ACh) and vasoactive intestinal polypeptide (VIP) were investigated in atopic eczema (AE) patients. To elucidate the involvement of histamine to ACh-provoked vasoreactions and sensations, we applied a selective H1-antagonist (cetirizine) 3 h prior to the ACh-administration. Solutions of acetylcholine (ACh, 0.55 M) and vasoactive intestinal polypeptide (VIP, 1.5x 10(-5) M) were injected (10 microl) intracutaneously into the volar forearm of 14 healthy subjects and 14 atopic eczema (AE) patients. The substances were applied as single stimulus as well as in combination. Sensations evoked by the stimulation were recorded using 2 visual analog scales (VAS). Vasoreactions were analyzed with the new technique of computer assisted video image analysis. With this method we measured the dynamics of the flare development and the extension of the final flare size independent of the observer's assessment. In control subjects the development and extension of the final flare size was almost similar, regardless whether ACh and VIP were applied in combination or separately. Compared to healthy controls, after injection of ACh, VIP and the combination of VIP and ACh smaller flare sizes were recorded in AE patients. After VIP was given, the control subjects reported pruritus, which was significantly augmented compared to AE patients. In contrast, controls reported a burning pain after the injection of ACh, whereas AE patients felt predominantly pruritus. Itch sensation after the combined application of VIP and ACh was significantly elevated in AE patients. Consequently, we assume that mediators of sudomotor neurons, i.e., VIP and ACh meet in AE patients apparently sensitized nociceptive primary afferents and induce exaggerated itch, pain and flare responses. When pretreated with the selective H1-antagonist cetirizine before ACh was injected, pain and erythema due to ACh was diminished in healthy controls. In contrast, cetirizine did not influence the size of erythema and the magnitude of sensation in AE patients. We conclude, that the release of histamine is not involved in ACh-induced erythema and pruritus in AE. These data provide evidence that pruritus can be elicited in atopic eczema by a cholinergic, histamine independent mechanism.",0
W1516550929,Risk of ventricular arrhythmias associated with nonsedating antihistamine drugs,"AIMS: To quantify and compare the incidence of ventricular arrhythniias associated with the use of five nonsedating antihistamines: acrivastine, astemizole, cetirizine, loratadine and terfenadine. The effects of age, sex, dose, duration of treatment, and the interaction with P450 inhibitor drugs were also examined. METHODS: We carried out a cohort study with a nested case-control analysis using the UK-based General Practice Research database (GPRD). The study cohort included persons aged less than 80 years old who received their first prescription for any of the five study drugs between January 1, 1992 and September 30, 1996. We estimated relative risks and 95% confidence intervals of idiopathic ventricular arrhythmias with current use of antihistamines as compared with non use. RESULTS: The study cohort included 197425 persons who received 513012 prescriptions. Over the study period 18 valid cases of idiopathic ventricular arrhythmias were detected. Nine occurred during the current use of any antihistamine, resulting in a crude incidence of 1.9 per 10000 person-years (95%CI: 1.0-3.6) and a relative risk of 4.2 (95%CI: 1.5-11.8) as compared with non use. Astemizole presented the highest relative risk (RR= 19.0; 95%CI: 4.8-76.0) of all study drugs, while terfenadine (RR=2.1; 95%CI:0.5-8.5) was in the range of other nonsedating antihistamines. Older age was associated with a greater risk of ventricular arrhythmias (RR=7.4; 95%CI: 2.6-21.4) and seemed to increase the effect of antihistamines (RR=6.4; 95%CI: 1.7-24.8). The proportions of high dose terfenadine and the concomitant use with P450 inhibitors among current users of terfenadine were 2.7% and 3.4%, respectively over the study period with no single case of ventricular arrhythmias occurring in the presence of these two risk factors. CONCLUSIONS: The use of nonsedating antihistamines increases the risk of ventricular arrhythmias by a factor of four in the general population. Yet, the absolute effect is quite low requiring 57000 prescriptions, or 5300 person-years of use for one case to occur. The risk associated with terfenadine was no different from that with other nonsedating antihistamines.",0
W2098105105,Treating Allergic Rhinitis in Pregnancy,,0
W2048248990,Cardiovascular Safety of FexofenadineHCl,,0
W2038382554,Variations among non-sedating antihistamines: are there real differences?,,0
