id,title,abstract,label
W2164799400,Pharmacokinetics of an Oral Once‐a‐Day Controlled‐Release Oxybutynin Formulation Compared with Immediate‐Release Oxybutynin,"Oxybutynin is used for the treatment of urge urinary incontinence. In this randomized, open-label, two-way crossover, multiple-dose study, the pharmacokinetics of a once-daily, controlled-release formulation, OROS oxybutynin chloride, was compared with that of immediate-release (IR) oxybutynin (Ditropan). Thirteen healthy female volunteers received three 5 mg OROS oxybutynin chloride tablets once daily for 4 days or IR oxybutynin 5 mg administered every 8 hours for 4 days. On day 1, with OROS oxybutynin chloride, mean plasma concentrations rose slowly over approximately 6 hours following dosing (mean Cmax 4.2 ng/mL) and remained fairly constant over the 24-hour dosing interval, whereas with IR oxybutynin, mean plasma concentrations rose rapidly within the first hour after dosing (mean Cmax 12.0 ng/mL), then declined. The mean oxybutynin degree of fluctuation was much lower for OROS oxybutynin chloride (78%) than for IR oxybutynin (371%). For both formulations, the plasma concentration-time profiles for the metabolite N-desethyloxybutynin paralleled those of oxybutynin but at higher concentrations. Steady-state oxybutynin concentrations were achieved by day 3 for both formulations. Mean area under the concentration-time curve (AUC) values for both oxybutynin and its metabolite were similar between day 1 and day 4 for each treatment, suggesting time-invariant pharmacokinetics. With OROS oxybutynin chloride, mean relative bioavailability was higher (153%) for oxybutynin and lower (69%) for N-desethyloxybutynin compared with IR oxybutynin. This increased bioavailability may be due to reduced first-pass metabolism; within 3 to 5 hours after dosing, OROS systems are thought to reach the colon, where cytochrome P450-mediated oxidation (oxybutynin's primary metabolic pathway) may be less extensive than in the small intestine. Fewer subjects reported any adverse event with OROS oxybutynin chloride than with IR oxybutynin (including dry mouth, oxybutynin's most frequently reported anticholinergic adverse effect).",0
W2008323673,New Drugs of 1998,,0
W2068456101,A Review of the Quality-of-Life Aspects of Urinary Urge Incontinence,,0
W1515159044,"Tolterodine does not affect the human <i>in vivo</i> metabolism of the probe drugs caffeine, debrisoquine and omeprazole","AIM: To investigate the in vivo effect of treatment with tolterodine on debrisoquine 4-hydroxylation (an index of CYP2D6 activity), omeprazole 5-hydroxylation (CYP2C19), omeprazole sulphoxidation (CYP3A4) and caffeine N3-demethylation (CYP1A2). METHODS: Twelve healthy male volunteers (eight extensive metabolisers [EMs] and four poor metabolisers [PMs] with respect to CYP2D6) received 4 mg tolterodine L-tartrate orally twice daily for 6 days. All subjects were EMs with respect to CYP2C19. The subjects received single oral doses of debrisoquine (10 mg), omeprazole (20 mg) and caffeine (100 mg) for determination of the appropriate metabolic ratios (MR). The drugs were given on separate consecutive days, before, during and after the co-administration of tolterodine. RESULTS: Mean serum tolterodine concentrations were 5-10 times higher in PMs than in EMs. Serum concentrations of the active 5-hydroxymethyl metabolite of tolterodine, 5-HM, were not quantifiable in PMs. The mean MR of debrisoquine (95% confidence interval) during tolterodine treatment was 0.50 (0.25-0.99) and did not differ statistically from the values before [0.49 (0.20-1.2)] and after tolterodine administration [0.46 (0.14-1.6)] in EMs. The mean MR of omeprazole hydroxylation and sulphoxidation or caffeine metabolism were not changed in the presence of tolterodine in either EMs or PMs. Debrisoquine and caffeine had no significant effect on the AUC(1,3 h) of either tolterodine or 5-HM, but during omeprazole administration small decreases (13-19%) in these parameters were seen. CONCLUSIONS: Tolterodine, administered at twice the expected therapeutic dosage, did not change the disposition of the probe drugs debrisoquine, omeprazole and caffeine and thus had no detectable effect on the activities of CYPs 2D6, 2C19, 3A4 and 1A2. Alteration of the metabolism of substrates of these enzymes by tolterodine is unlikely to occur.",0
W2010470645,Pharmacological effects of tolterodine on human isolated urinary bladder,,0
W2055149989,Serum protein binding of tolterodine and its major metabolites in humans and several animal species,"The aim of this study was to determine in vitro protein binding of tolterodine and its 5-hydroxymethyl (5-HM) and N-dealkylated metabolites in serum from humans and several animal species at concentrations similar to those obtained in clinical and preclinical studies. Binding of tolterodine and the two metabolites to human serum albumin and alpha1-acid glycoprotein (AAG) was also assessed, as was binding of tolterodine to red blood cells. Ex vivo protein binding of tolterodine and 5-HM was determined in serum samples from healthy volunteers treated with oral tolterodine 4 mg twice daily for 8 days. Tolterodine exhibited high protein binding in human serum; the unbound fraction (f(u)) was 3.7%. The unbound fraction of tolterodine in cat and dog serum (1.5 and 2.1%, respectively) was lower compared with human serum; f(u) was higher in the other species investigated (rat, 22%; mouse, 16-17%; rabbit, 39%). The unbound fraction of 5-HM was much higher in serum from humans (36%) and all animal species investigated (mouse, 72%; rabbit, 68%; cat, 32%; dog, 45%). Binding of N-dealkylated tolterodine to proteins in human serum was intermediate (f(u) 14%). AAG was the major binding protein for tolterodine and 5-HM, and the degree of binding increased with increasing concentration of the protein. The association constant of 5-HM for AAG was lower than that of tolterodine (1.3 x 10(5) M(-1) versus 2.1 x 10(6) M(-1)). The blood:plasma tolterodine concentration ratio was 0.6 in both humans and dog; thus, a minor fraction of tolterodine was present in red blood cells compared with plasma (0.18 and 0.36, respectively). In the mouse, tolterodine was equally present in blood and plasma. In ex vivo samples, f(u) values for tolterodine (pH adjusted) varied between 1.6 and 4.9% (mean 2.8%), which could be explained by differences in AAG concentrations. There was good correlation between observed f(u) values for tolterodine and those predicted on the basis of AAG levels. Similar findings were observed for 5-HM.",0
W2083510953,CLINICAL EFFICACY AND SAFETY OF TOLTERODINE COMPARED TO PLACEBO IN DETRUSOR OVERACTIVITY,"PURPOSE: We evaluated the efficacy, patient acceptability and side effect profile of tolterodine, a new antimuscarinic agent for treating bladder overactivity. MATERIALS AND METHODS: In our randomized, placebo controlled, parallel group study 123, 129 and 64 patients 18 years old or older with proved detrusor overactivity (idiopathic detrusor instability or detrusor hyperreflexia) were randomized to receive 1 or 2 mg. tolterodine, or placebo, respectively, twice daily for 12 weeks. Main outcome measures were number of voids per 24 hours, urine volume per void and episodes of urge incontinence per 24 hours on a frequency-volume chart with detailed recording of side effects. RESULTS: After 12 weeks of treatment mean number of voids per 24 hours plus or minus standard deviation decreased from 11.2 +/- 3.1 to 9.0 +/- 2.6 with the 2 mg. dosage (p = 0.0045 versus placebo). At this dose mean urine volume per void increased from 155 +/- 52 to 190 +/- 70 ml. (p <0.0001 versus placebo), while mean number of incontinence episodes per 24 hours decreased from 3.6 +/- 4.0 to 1.8 +/- 3.1 (p = 0.19 versus placebo). Similar efficacy was observed in patients receiving the 1 mg. dose. Severe dry mouth was reported by only 2, 1 and 2% of patients given the 1 and 2 mg. dose, and placebo, respectively. There was no clinical or electrocardiographic evidence of significant cardiac adverse events. CONCLUSIONS: Tolterodine administration resulted in a significant decrease in the frequency of voiding and improved voided volume but it was seldom associated with troublesome or severe side effects.",1
W1991953018,"Tolterodine, a New Antimuscarinic Drug for Treatment of Bladder Overactivity","Tolterodine is a nonsubtype selective antimuscarinic agent recently approved as therapy in patients with overactive bladder with symptoms of urinary frequency, urgency, or urge incontinence. It acts by muscarinic receptor blockade in the bladder wall and detrusor muscle. Despite short terminal disposition half-lives of 2-3 and 3-4 hours for tolterodine and its active 5-hydroxy metabolite, respectively, twice/day dosing is effective due to the drug's prolonged pharmacodynamic effects. Dosage adjustment is recommended in the presence of hepatic impairment and during concurrent therapy with drugs that inhibit cytochrome P450 2D6 and 3A4 isozymes. Tolterodine significantly reduces clinically relevant end points such as number of micturitions and number of incontinence episodes/day. In general, it is superior to placebo and equivalent to oxybutynin in this regard. As might be expected from its pharmacologic profile, the principal adverse effects of the drug are anticholinergic. In clinical trials, tolterodine was tolerated significantly better than oxybutynin. Its relative merits as a first- or second-line agent for patients intolerant of oxybutynin are unclear. Until pharmacoeconomic analyses are conducted that clearly justify use of this more expensive agent, tolterodine is perhaps best reserved for patients who are intolerant of or fail oxybutynin therapy.",0
W2109298103,Tolterodine in the treatment of overactive bladder: analysis of the pooled phase II efficacy and safety data,,0
W1603915265,Quality‐of‐life aspects of the overactive bladder and the effect of treatment with tolterodine,,0
