id,title,abstract,label
W2122493686,Effect of acute testosterone on myocardial ischemia in men with coronary artery disease,,0
W1991640723,Oral micronized progesterone,,0
W2015268712,Premenstrual Symptoms in Women with Premenstrual Asthma,"STUDY OBJECTIVES: To characterize and compare premenstrual symptoms (mood, physical) throughout two menstrual cycles with and without estradiol administration, in women with premenstrual asthma (PMA), and to examine relationships between asthma symptoms versus premenstrual symptoms and pulmonary function versus premenstrual symptoms in these women. DESIGN: Open-label, longitudinal, 9-week study (consisting of two complete menstrual cycles). SETTING: Clinical study at the University of Kentucky; data analysis at the University of British Columbia and Children's and Women's Health Centre of British Columbia. PATIENTS: Fourteen women (age 35.6 +/- 6.6 yrs) with mild to moderate asthma with a baseline ratio of forced expiratory volume in 1 second:forced vital capacity of 0.72 +/- 0.12. INTERVENTIONS: Women were followed for two complete menstrual cycles. During the second complete cycle (i.e., cycle 3), they received estradiol 2 mg orally between days 23 and 28 (premenstrual). MEASUREMENTS AND MAIN RESULTS: Throughout both cycles 2 and 3, each subject recorded premenstrual symptom questionnaire scores (15 mood and physical symptoms, graded 0-3) every morning on awakening. Peak expiratory flow rate (PEFR) and visual analog scales of asthma symptoms (cough, wheezing, breathlessness, chest tightness) were recorded daily at the same time. Seven subjects showed a classic pattern of premenstrual symptoms. Four of the five subjects who complained of PMA symptoms at study enrollment also demonstrated this classic pattern of premenstrual symptoms. After estradiol administration, four women had lower symptom scores, eight had higher scores, and two had the same scores. Overall, estradiol had no significant effect on symptoms (mean area under the curve 18.9 +/- 14.8 day(-1) vs 20.3 +/- 14.8 day(-1), p>0.05). Ten subjects had significant relationships between asthma symptoms and premenstrual symptoms, whereas six had significant relationships between PEFR and premenstrual symptoms. CONCLUSIONS: Exogenous estradiol administration had no significant effect on premenstrual symptoms in women with PMA. The lack of a significant effect allows for patient blinding in a placebo-controlled, crossover study of exogenous estradiol in PMA that is currently under way Clinical implications of relationships between asthma symptoms versus premenstrual symptoms and pulmonary function versus premenstrual symptoms may warrant further study.",0
W2024084132,Postmenopausal women without previous or current vasomotor symptoms do not flush after abruptly abandoning estrogen replacement therapy,,0
W1999997178,Biotransformation of Oral Dehydroepiandrosterone in Elderly Men: Significant Increase in Circulating Estrogens,"The most abundant human steroids, dehydroepiandrosterone (DHEA) and its sulfate ester DHEAS, may have a multitude of beneficial effects, but decline with age. DHEA possibly prevents immunosenescence, and as a neuroactive steroid it may influence processes of cognition and memory. Epidemiological studies revealed an inverse correlation between DHEAS levels and the incidence of cardiovascular disease in men, but not in women. To define a suitable dose for DHEA substitution in elderly men we studied pharmacokinetics and biotransformation of orally administered DHEA in 14 healthy male volunteers (mean age, 58.8 +/- 5.1 yr; mean body mass index, 25.5 +/- 1.5 kg/m2) with serum DHEAS concentrations below 4.1 micromol/L (1500 ng/mL). Diurnal blood sampling was performed on 3 occasions in a single dose, randomized, cross-over design (oral administration of placebo, 50 mg DHEA, or 100 mg DHEA). The intake of 50 mg DHEA led to an increase in serum DHEAS to mean levels of young adult men, whereas 100 mg DHEA induced supraphysiological concentrations [placebo vs. 50 mg DHEA vs. 100 mg DHEA; area under the curve (AUC) 0-12 h (mean +/- SD) for DHEA, 108 +/- 22 vs. 252 +/- 45 vs. 349 +/- 72 nmol/L x h; AUC 0-12 h for DHEAS, 33 +/- 9 vs. 114 +/- 19 vs. 164 +/- 36 micromol/L x h]. Serum testosterone and dihydrotestosterone remained unchanged after DHEA administration. In contrast, 17beta-estradiol and estrone significantly increased in a dose-dependent manner to concentrations still within the upper normal range for men [placebo vs. 50 mg DHEA vs. 100 mg DHEA; AUC 0-12 h for 17beta-estradiol, 510 +/- 198 vs. 635 +/- 156 vs. 700 +/- 209 pmol/L x h (P < 0.0001); AUC 0-12 h for estrone, 1443 +/- 269 vs. 2537 +/- 434 vs. 3254 +/- 671 pmol/L x h (P < 0.0001)]. In conclusion, 50 mg DHEA seems to be a suitable substitution dose in elderly men, as it leads to serum DHEAS concentrations usually measured in young healthy adults. The DHEA-induced increase in circulating estrogens may contribute to beneficial effects of DHEA in men.",0
W2004302812,The Effect of Low-Dose Continuous Estrogen and Progesterone Therapy with Calcium and Vitamin D on Bone in Elderly Women,"BACKGROUND: Hormone replacement therapy (HRT), the mainstay of osteoporosis prevention, is limited because of dose-related risks, side effects, and patient acceptance. The bone-sparing efficacy and tolerability of the lowest available doses of HRT have not been adequately studied in elderly women. OBJECTIVE: To determine the bone-sparing effect of continuous low-dose HRT in elderly women. DESIGN: Randomized, double-blind, placebo-controlled trial. SETTING: University osteoporosis research and clinical center. PATIENTS: 128 healthy white women (age > 65 years) with low bone mass recruited by word of mouth and by local advertisement. The principal eligibility criterion was spinal bone mineral density of 0.90 g/cm2 or less. INTERVENTION: Continuous therapy with conjugated equine estrogen, 0.3 mg/d, and medroxyprogesterone, 2.5 mg/d, or matching placebo. Sufficient calcium supplementation was given to bring all calcium intakes above 1000 mg/d in both groups; supplemental oral 25-hydroxyvitamin D was given to maintain serum 25-hydroxyvitamin D levels of at least 75 nmol/L in both groups. MEASUREMENTS: Bone mineral density of the spine, hip, total body, and forearm; serum total alkaline phosphatase and serum osteocalcin levels at 6-month intervals; and 24-hour urine creatinine and hydroxyproline excretion at baseline, 12 months, and 42 months. RESULTS: During 3.5 years of observation, spinal bone mineral density increased by 3.5% (P < 0.001) in an intention-to-treat analysis and by 5.2% among patients with greater than 90% adherence to therapy. Significant increases were seen in total-body and forearm bone density (P < 0.01). Symptoms related to HRT (breast tenderness, spotting, pelvic discomfort, and mood changes) were mild and short-lived. CONCLUSIONS: Continuous low-dose HRT with conjugated equine estrogen and oral medroxyprogesterone combined with adequate calcium and vitamin D provides a bone-sparing effect that is similar or superior to that provided by other, higher-dose HRT regimens in elderly women. This combination is well tolerated by most patients.",1
W2090724400,"Cognitive and neuroendocrine response to transdermal estrogen in postmenopausal women with Alzheimer’s disease: results of a placebo-controlled, double-blind, pilot study",,0
W2438727817,[The effects of hormone replacement therapy on ovarian function in premenopausal women after hysterectomy].,"OBJECTIVE: Examining the consequences of temporary postoperative hormone replacement therapy following hysterectomy for the function of the ovaries and the subjective well-being of women. MATERIAL AND METHODS: Hormone profiles (Estradiol, FSH, LH, Testosterone, DHEA) and typical estradiol deficiency phenomena were investigated prospectively in premenopausal hysterectomized women with intact ovaries. Group 1 (n = 21) was replaced transdermally following surgery for 3 weeks with estradiol patch 0.05 mg daily. Group 2 (n = 21) got no hormones. RESULTS: Group 1 had a remarkable decrease of estradiol after 10 days to 59% and after 6 weeks to 71% of the starting point. Gonadotropins showed an increase in this group. In group 2 without replacement there was only a small decrease of estradiol after 10 days and after 6 weeks the level was higher than before hysterectomy. Testosterone also decreased in group 1 to 64% of the level before surgery after 6 weeks, whereas in the comparing group it was 87%. On the other hand in group 1 only 2 of 21 women, but 10 of 21 in group 2 showed climacteric-like symptoms. CONCLUSIONS: HRT over 3 weeks induces ovarian suppression, which is still seen 6 weeks after hysterectomy. But hormonally treated women have clearly less subjective complaints.",0
W2077589081,Local Treatment of Urogenital Atrophy with an Estradiol-Releasing Vaginal Ring: A Comparative and a Placebo-Controlled Multicenter Study,,0
W2124987932,"Comparison of the Pharmacokinetics of 17β‐Estradiol after a Single 4‐Day Application of Oesclim® 50, Oesclim® 100, and Vivelle® 0.05 (Menorest® 50) Transdermal Delivery Systems","Oesclim (Laboratoires Fournier, Dijon, France), also known as Esclim or Esclima, is a new estradiol transdermal delivery system (TDS) developed for the treatment of menopausal vasomotor symptoms. This open, randomized, three-way crossover study compared in 24 healthy postmenopausal women the pharmacokinetics of estradiol after a single 4-day application of Oesclim 50, Oesclim 100, and Vivelle 0.05 (CibaGeneva Pharmaceuticals, Summit, NJ; known as Menorest 50 in Europe, Rhône-Poulenc Rorer) on the upper buttock. Serum estradiol concentrations were determined by a validated radioimmunoassay method from samples taken before and during each TDS application. The concentration-time profiles for Vivelle 0.05 and Oesclim 50 were comparable with a similar absorption rate, giving a maximum concentration (Cmax) of 49 and 53 pg/mL above baseline, respectively, followed by a plateau throughout the 96-hour application period. At the end of this period, mean corrected estradiol concentrations were 18 and 19 pg/mL, respectively. The estradiol serum concentrations obtained after an application of Oesclim 100 were approximately twice as high than with Oesclim 50. All products were well tolerated, but skin intolerance was more frequent with Vivelle 0.05 (4 patients; four reports) and Oesclim 100 (3 patients; three reports) than with Oesclim 50 (none). Problems of imperfect adhesion were more than five times as frequent with Vivelle 0.05 (44%) than with Oesclim (8%).",0
